,Director,Country,Birth year
155,Arthur Penn,Estados Unidos,1922
156,Robert Stevenson,Inglaterra,1905
157,Ken Annakin,Inglaterra,1914
158,Jack Clayton,Inglaterra,1921
159,James Whale,Inglaterra,1889
160,Leo McCarey,Estados Unidos,1908
161,Francis Lee,Inglaterra,1981
162,David Leitch,Estados Unidos,1972
163,Taylor Sheridan,Estados Unidos,1970
164,Jordan Peele,Estados Unidos,1979
165,Christopher McQuarrie,Estados Unidos,1968
166,Hannes Holm,Suecia,1946
167,Jemaine Clement,Nueva Zelanda,1974
168,James Simone,Estados Unidos,1980
169,James Marsh,Inglaterra,1952
170,Matthew Vaughn,Inglaterra,1971
171,Josh Boone,Estados Unidos,1979
172,Alfonso Gomez-Rejon,Estados Unidos,1981
173,Abdellatif Kechiche,Túnez,1960
174,Abhishek Kapoor,India,1971
175,Felix van Groeningen,Bélgica,1977
176,Alexander Payne,Estados Unidos,1961
177,Rich Moore,Estados Unidos,1963
178,Mark Osborne,Estados Unidos,1966
179,Christopher Miller,Estados Unidos,1975
180,Cary Joji Fukunaga,Estados Unidos,1977
181,Ben Affleck,Estados Unidos,1972
182,Marc Webb,Estados Unidos,1974
183,Shûsuke Kaneko,Japon,1961
184,Shane Meadows,Inglaterra,1972
185,Alex Garland,Inglaterra,1970
186,Susanne Bier,Dinamarca,1960
187,Kevin Macdonald,Escocia,1967
188,Paul McGuigan,Escocia,1963
189,Christian Carion,Francia,1963
190,Anton Corbijn,Países Bajos,1955
191,Nathan Greno,Estados Unidos,1980
192,Paul Verhoeven,Países Bajos,1938
193,Paul Haggis,Canadá,1953
194,Stephen Chow,China,1962
195,Brad Anderson,Estados Unidos,1964
196,Sofia Coppola,Estados Unidos,1971
197,Mike Newell,Inglaterra,1942
198,Peter Mullan,Escocia,1959
199,Wolfgang Becker,Alemania,1954
200,Jessie Nelson,Estados Unidos,1964
201,Stephen Daldry,Inglaterra,1960
202,John Cameron Mitchell,Estados Unidos,1963
203,Steven Soderbergh,Estados Unidos,1963
204,Bob Gale,Estados Unidos,1948
205,Trey Parker,Estados Unidos,1969
206,Mike Judge,Estados Unidos,1962
207,Todd Solondz,Estados Unidos,1959
208,Antoine Fuqua,Estados Unidos,1966
209,James L. Brooks,Estados Unidos,1940
210,Francis Veber,Francia,1937
211,Scott Hicks,Australia,1953
212,Gregory Hoblit,Estados Unidos,1948
213,Kenneth Branagh,Inglaterra,1960
214,Michael Radford,Inglaterra,1946
215,Kevin Smith,Estados Unidos,1970
216,Robert Altman,Estados Unidos,1925
217,Brian Henson,Estados Unidos,1963
218,James Foley,Estados Unidos,1954
219,Jon Avnet,Estados Unidos,1949
220,George Sluizer,Países Bajos,1932
221,Bruce Robinson,Inglaterra,1946
222,Jean-Jacques Annaud,Francia,1943
223,Nicholas Meyer,Estados Unidos,1945
224,Ted Kotcheff,Canadá,1931
225,Robert Redford,Estados Unidos,1936
226,Jim Abrahams,Estados Unidos,1944
227,Joseph Sargent,Estados Unidos,1925
228,Robert Clouse,Estados Unidos,1930
229,John Boorman,Inglaterra,1933
230,Don Siegel,Estados Unidos,1912
231,Brian G. Hutton,Estados Unidos,1936
232,Gene Saks,Estados Unidos,1921
233,Cy Endfield,Inglaterra,1914
234,Guy Hamilton,Inglaterra,1922
235,J. Lee Thompson,Inglaterra,1914
236,Georges Franju,Francia,1912
237,Charles Vidor,Hungría,1900
238,James Algar,Estados Unidos,1912
239,Todd Haynes,Estados Unidos,1961
240,Aneesh Chaganty,India,1990
241,Sean Baker,Estados Unidos,1971
242,Tyler Nilson,Estados Unidos,1980
243,Sebastian Schipper,Alemania,1968
244,Deniz Gamze Ergüven,Francia,1978
245,Joseph Kosinski,Estados Unidos,1974
246,Ryan Coogler,Estados Unidos,1986
247,David Mackenzie,Escocia,1966
248,Stephen Frears,Inglaterra,1941
249,Matt Reeves,Estados Unidos,1966
250,David Ayer,Estados Unidos,1968
251,Hiromasa Yonebayashi,Japon,1973
252,Bradley Cooper,Estados Unidos,1975
253,Pierre Coffin,Francia,1967
254,Jonathan Levine,Estados Unidos,1976
255,Daniel Monzón,España,1968
256,Bennett Miller,Estados Unidos,1966
257,Ruben Fleischer,Estados Unidos,1974
258,Dennis Gansel,Alemania,1973
259,John Lee Hancock,Estados Unidos,1956
260,David Cronenberg,Canadá,1943
261,Olivier Dahan,Francia,1967
262,Ronny Yu,Hong Kong,1950
263,Neil Burger,Estados Unidos,1963
264,Zack Snyder,Estados Unidos,1966
265,James Wan,Malasia,1977
266,Charlie Kaufman,Estados Unidos,1958
267,Gregg Araki,Estados Unidos,1959
268,Yann Samuell,Francia,1965
269,Marc Forster,Suecia,1969
270,Eric Bress,Estados Unidos,1972
271,Kinji Fukasaku,Japon,1930
272,Chris Columbus,Estados Unidos,1958
273,Ted Demme,Estados Unidos,1963
274,Mary Harron,Canadá,1953
275,Tom Tykwer,Alemania,1965
276,Tony Bancroft,Estados Unidos,1965
277,Alex Proyas,Australia,1963
278,Joel Schumacher,Estados Unidos,1939
279,Jonathan Lynn,Inglaterra,1943
280,Marc Caro,Francia,1956
281,David Zucker,Estados Unidos,1947
282,Mark Rydell,Estados Unidos,1934
283,Walter Hill,Estados Unidos,1942
284,James Frawley,Estados Unidos,1936
285,Martin Rosen,Inglaterra,1943
286,Wolfgang Reitherman,Estados Unidos,1909
287,Richard Lester,Inglaterra,1932
288,Blake Edwards,Inglaterra,1922
289,George Stevens,Estados Unidos,1904
290,Frank Darabont,Estados Unidos,1959
291,Francis Ford Coppola,Estados Unidos,1939
292,Christopher Nolan,Inglaterra,1970
293,Sidney Lumet,Estados Unidos,1924
294,Peter Jackson,Nueva Zelanda,1961
295,Quentin Tarantino,Estados Unidos,1963
296,Steven Spielberg,Estados Unidos,1946
297,David Fincher,Estados Unidos,1962
298,Robert Zemeckis,Estados Unidos,1952
299,Sergio Leone,Italia,1929
300,Lana Wachowski,Estados Unidos,1965
301,Martin Scorsese,Estados Unidos,1942
302,Irvin Kershner,Estados Unidos,1923
303,Milos Forman,Checoslovaquia,1932
304,Thomas Kail,Estados Unidos,1978
305,Bong Joon Ho,Corea del Sur,1969
306,Sudha Kongara,India,1974
307,Fernando Meirelles,Brasil,1955
308,Hayao Miyazaki,Japon,1941
309,Roberto Benigni,Italia,1952
310,Jonathan Demme,Estados Unidos,1944
311,George Lucas,Estados Unidos,1944
312,Masaki Kobayashi,Japon,1916
313,Akira Kurosawa,Japon,1910
314,Frank Capra,Estados Unidos,1897
315,Todd Phillips,Estados Unidos,1970
316,Damien Chazelle,Estados Unidos,1985
317,Olivier Nakache,Francia,1973
318,Roman Polanski,Francia,1933
319,Ridley Scott,Inglaterra,1937
320,Tony Kaye,Inglaterra,1952
321,Bryan Singer,Estados Unidos,1965
322,Luc Besson,Francia,1959
323,Roger Allers,Estados Unidos,1954
324,James Cameron,Canadá,1954
325,Giuseppe Tornatore,Italia,1956
326,Isao Takahata,Japon,1935
327,Alfred Hitchcock,Inglaterra,1899
328,Michael Curtiz,Hungría,1886
329,Charles Chaplin,Inglaterra,1889
330,Nadine Labaki,Líbano,1974
331,Can Ulkay,Turquía,1967
332,Gayatri,India,1974
